WayID|PointID|Rotation|Top5PlaceIndex
8363123|1077704848|0|92
16790097|173736413|0|67
7995502|1564517311|0|151
8375945|195712|0|151
2955913|629000|0|151
10803762|3939800061|0|92
8143721|26845250|0|67
9042937|66562143|0|151
4770477|30482801|0|151
8900973|5176882145|0|151
16788672|173711301|0|151
10698897|94934826|0|67
186283254|18130192|0|133
13871080|5278147909|0|191
9861996|79476939|0|151
137818347|2144273345|0|196
5926771|257453718|0|92
2956560|648845|0|67
25886644|1656263786|0|52
241556135|5399776218|0|67
103849692|28352093|0|79
48606853|177693509|0|191
267951949|2733421079|0|151
8072793|60459452|0|67
165463924|2104957142|0|135
30409870|105665136|0|135
146468305|10988063|0|151
208836259|1651335355|0|79
4804758|25947998|0|52
41151622|169655600|0|67
13950288|2309602185|0|87
4287873|918324768|0|151
4328588|1599210442|0|135
4009835|947875859|0|115
5367888|38454164|0|94
5728665|43394052|0|151
50905237|32581372|0|151
7953945|417541915|0|151
15221662|150610495|0|151
14008816|132854003|0|135
5930861|4630769163|0|94
4048441|620020028|0|151
20328506|250525401|0|151
22793414|245015922|0|151
4999132|622031052|0|151
37804508|443418084|0|151
4342618|26421687|0|115
17443649|180506092|0|135
96150424|1114073421|0|151
13949470|3196248074|0|142
167907329|251672107|0|92
4302714|2121294967|0|92
33742487|385978915|0|151
210101127|260449932|0|149
73984177|1704546662|0|131
23062383|248859107|0|151
22753554|3574630294|0|151
4622223|1305567686|0|94
16616882|171619126|0|151
5319942|3551158345|0|135
14370436|139989802|0|151
5365016|38429086|0|67
16317499|167218443|0|151
229188853|26385460|0|151
31982196|358424415|0|67
6008169|2410476714|0|151
5030919|206348019|0|135
34700359|403897928|0|79
153730945|1663594128|0|115
27050170|128082627|0|151
25981929|101309699|0|151
3692542|18292943|0|79
5154070|1613452965|0|151
4296191|251883625|0|135
17991267|1452527986|0|151
549840545|248816858|0|135
7544093|484928878|0|67
23023389|248230124|0|164
26580554|2910833377|0|151
34870065|32439586|0|87
235059617|613187066|0|151
13857383|1458525491|0|151
23776861|257612012|0|151
4482288|27339980|0|151
285717967|30991121|0|92
51175615|262443441|0|151
21395107|230081361|0|67
4238283|24923603|0|135
5027686|4685264446|0|141
15133449|149544415|0|60
8125015|13032104|0|151
3692532|3553308545|0|151
201783840|469760843|0|60
3040458|2084187583|0|60
8139293|26004005|0|67
13715484|126621699|0|151
36949145|126606935|0|151
41977085|102963210|0|79
2937456|18066008|0|151
4368225|662563885|0|60
4299835|18061621|0|60
7855348|699164023|0|151
9939917|1945672176|0|151
5180220|391448075|0|151
74139434|877050359|0|67
49797651|32654982|0|151
4275781|25258827|0|151
4999048|622032932|0|151
3131449|451019422|0|67
279536894|2837600010|0|166
395908564|243238214|0|60
50132474|32546056|0|135
25816466|486492085|0|63
8045012|5255557290|0|151
4134193|256550912|0|151
54499403|686459747|0|151
143208179|1567010291|0|120
4430804|1570779348|0|92
169262120|26820905|0|151
25966218|283267055|0|151
243007242|30653522|0|151
10496639|90238263|0|151
24526117|266692313|0|151
8178828|1961442177|0|135
77238757|5339772738|0|67
4005274|21090170|0|141
23064059|248886370|0|151
4088332|21540838|0|131
22870707|245804404|0|94
8875007|64637001|0|60
15256987|151183033|0|151
9950921|81684152|0|151
4262443|5229553596|0|60
11154452|99331136|0|67
27834786|305603098|0|170
164055647|247854128|0|151
38823526|1448808420|0|92
51271803|654181122|0|151
3617968|18237764|0|191
4610445|1692431892|0|2
203494404|1959436162|0|92
8136154|1469949937|0|151
45733570|582520348|0|67
4940404|3625957390|0|151
149616250|909457318|0|151
12710079|116117989|0|60
23372010|253067180|0|135
8321622|21574920|0|151
4849036|36487217|0|151
4482286|27340014|0|151
4253637|5337670078|0|135
3595852|17788850|0|67
184763905|124250527|0|135
6059544|249486804|0|38
4813603|30914994|0|151
193939156|3785996022|0|92
4865508|36269453|0|67
10578611|941120089|0|120
4278463|245794350|0|92
4211851|24955431|0|151
4341834|26658333|0|60
14371851|140039139|0|92
500549199|530980448|0|52
8685826|62055930|0|151
4942797|32567917|0|94
23115137|249551461|0|92
456784180|27120301|0|151
4632657|29426878|0|67
22604052|16574811|0|60
39523099|105920102|0|151
262200663|25473562|0|166
9925054|1561741495|0|204
191917318|2024780065|0|170
13873987|2306997795|0|151
100868531|2921402589|0|67
24951901|385878000|0|191
151993050|1648250994|0|92
24575980|424618|0|151
1746501|1289572996|0|151
99069430|332442559|0|92
22928191|81698001|0|151
166505019|1779464873|0|67
52128637|1961324329|0|135
4256421|9521018|0|130
23030619|248469081|0|53
4253390|25438891|0|52
17444623|180518969|0|151
168245836|1708319393|0|151
4899605|31930033|0|151
40606578|1767682658|0|60
15132826|149534158|0|151
10578187|290869231|0|130
25594977|1568934845|0|67
8408584|27121254|0|67
59034335|731652833|0|79
23077598|249092401|0|151
226590580|517790139|0|92
4223934|5090420940|0|52
227719007|3622156358|0|13
22824524|245735337|0|135
4865506|804807720|0|94
8037972|60093949|0|151
4746963|25436806|0|120
173020957|1838501034|0|115
27784051|738068757|0|170
220495590|1161639064|0|130
4365369|12197090|0|138
4288154|2349095297|0|166
23505855|254574856|0|92
13868297|1244844062|0|151
148947481|2478729124|0|151
8394140|3099721994|0|151
12897691|118242865|0|52
50551524|26197109|0|151
12896244|118238523|0|115
217162049|2264574100|0|90
4364900|1686375191|0|151
4356806|4617206790|0|151
11020678|243782460|0|151
10133117|83594478|0|79
23245270|5277517867|0|135
53581768|2454746785|0|186
4641219|391661407|0|135
32979074|371470775|0|151
26380852|4225998685|0|151
4951641|3215888113|0|151
33572567|36668870|0|67
8363531|68242972|0|151
28890023|566128809|0|151
4407169|1343435655|0|151
4956042|27284978|0|151
3110738|620066|0|115
44380073|1094605353|0|151
5027157|3400366600|0|60
43649846|5278620884|0|60
287112564|104062811|0|92
2428138|2538223478|0|67
45833941|11079568|0|130
438319268|874823385|0|60
4058924|365158275|0|135
8181081|68325285|0|151
22977607|2318240258|0|151
15222578|150622369|0|67
4240301|25321874|0|151
26567136|10710886|0|24
4341538|26430071|0|151
25121045|273509332|0|67
293465372|35959946|0|131
2947|2404145428|0|151
108515957|1244831326|0|151
4704419|29933315|0|151
35266666|26145468|0|151
25904399|282571111|0|92
10374625|2686171933|0|79
4408757|2516695073|0|151
8610057|61275574|0|67
3997652|20961093|0|115
174193630|1849094952|0|135
31264905|92740126|0|60
4976055|4573233879|0|151
495724667|1488974241|0|60
13898682|130889095|0|151
237405800|12893542|0|135
314499882|1885068222|0|67
54266034|684347830|0|60
5728723|43396512|0|151
36120829|421839144|0|151
30733429|585209626|0|151
4324103|25277225|0|151
192339946|227779|0|60
244220880|60882203|0|151
5218740|36712291|0|151
4377609|1835593834|0|151
4252417|198177|0|151
3997625|20961330|0|130
13854135|3453736895|0|151
4772452|279006687|0|151
52489930|701001447|0|170
366078296|3700647401|0|170
23074752|249068721|0|151
17940488|21662121|0|151
78165848|918192728|0|151
5045836|1150694031|0|151
9546145|73820416|0|151
4356098|107800|0|32
11297988|100417695|0|151
4748247|585233419|0|151
4769327|418810448|0|151
168555816|1798022531|0|135
4364725|26975783|0|92
205000158|1277522465|0|92
51174237|652802166|0|94
50132708|60269654|0|92
34925183|36102157|0|67
20499695|219432397|0|67
7971276|5142901363|0|22
10324710|1881012129|0|52
25695219|118298453|0|60
41911484|380264339|0|130
22990659|1136360109|0|139
47698766|606932971|0|80
4766889|30444850|0|115
5027497|27056014|0|151
5105544|34923119|0|151
37291259|35787286|0|151
50408566|4408200319|0|120
4253802|3494677619|0|94
28126089|21640671|0|151
4254088|1237057164|0|191
44830641|383239577|0|170
503189069|3942430056|0|60
154083843|1666813880|0|151
1928247|1654941123|0|92
5227865|36728179|0|67
317585461|2627280535|0|7
5571479|41316662|0|115
30498693|25885425|0|151
4302809|1983607511|0|135
12863194|117863556|0|151
315413399|25895848|0|92
211335586|2213457190|0|92
13868361|1596766806|0|2
4562271|18130231|0|130
36738637|46169271|0|92
4402792|1333929707|0|204
45170545|32552586|0|67
4764536|2263383645|0|32
14489865|4904305444|0|191
109879542|1256794024|0|79
549463995|12779182|0|191
78165822|918192607|0|151
207808761|243065|0|60
23023390|248230126|0|151
47387635|128599042|0|67
38253751|1970759091|0|92
8147902|25421035|0|151
132029087|1452760918|0|92
243779080|3023435135|0|115
4268613|1569077656|0|135
4335345|26385386|0|94
4338820|918066022|0|204
10054718|82623697|0|151
57384148|3260953885|0|92
4775585|30528118|0|67
14388761|140387802|0|151
4075355|1910313834|0|67
39044824|465737388|0|151
10439108|89385371|0|151
23109642|5098965176|0|181
5108535|34971738|0|115
16734647|173023499|0|170
5172029|35958844|0|204
48615791|31388149|0|94
38697241|29566026|0|60
10375668|5279527763|0|67
35962220|81602078|0|151
24249965|4672118022|0|135
13874277|130256307|0|92
7971158|21587935|0|151
419114924|25477049|0|2
23255457|1887551027|0|151
27820437|4534666468|0|32
14765913|145727343|0|151
14008970|1818606715|0|151
413046623|4690985015|0|133
4261888|25572587|0|135
8297009|1179913168|0|151
9171773|68230167|0|151
5081400|34555749|0|135
2532355|26416452|0|67
10269766|85843914|0|151
8318238|124247847|0|92
22756648|244212533|0|142
5027277|259076139|0|2
14182209|283249668|0|142
22754383|1785641253|0|92
280251136|4223730432|0|151
4278776|25696903|0|151
4799301|4972877724|0|60
26643981|689549019|0|151
47009514|360896229|0|67
5929481|18061624|0|151
4260082|4314934300|0|79
31825375|4011872195|0|151
23141896|249895535|0|151
82257516|1185886760|0|60
38900541|1014649631|0|130
9953578|1561852396|0|151
7225349|1938819292|0|75
3344906|16473185|0|166
49600361|68337847|0|60
10699771|94960227|0|92
22662770|243074450|0|151
22726025|3203507|0|67
315654275|30991631|0|92
22995820|247915768|0|151
10068957|5184280856|0|151
4970503|32929611|0|151
132028506|1452742009|0|151
87096529|1012898619|0|151
5782923|45218050|0|151
355467029|298031146|0|92
49600358|1829891897|0|151
209443758|2312152771|0|38
9545636|73813932|0|151
8407490|1754827440|0|151
24942190|101302344|0|151
4448771|1235688102|0|94
22656546|243045863|0|151
566873515|265901815|0|151
3998353|1721679015|0|60
165299722|1768596302|0|151
485262514|299183|0|140
20327125|215845093|0|151
2261948|1472344777|0|92
8393997|4295416213|0|151
3468950|16172332|0|151
10277690|86115951|0|151
4951789|32656906|0|92
8318239|129943658|0|151
12862761|117856656|0|151
5027639|1187055830|0|151
395921209|309545236|0|135
22676907|243235593|0|94
8049930|3506677254|0|151
105021586|4394946629|0|92
184939646|5113974978|0|92
8408971|27144343|0|151
23506165|254577317|0|151
17106285|177649121|0|151
44647308|250351298|0|92
35436522|492044179|0|166
8431600|28800411|0|60
10069153|4273036016|0|67
156734009|4337666118|0|67
2648784|4308936506|0|92
17281487|2748621133|0|151
4624728|251478866|0|60
20223315|213898537|0|151
4746966|197250|0|151
16770119|173408866|0|67
8398623|26560687|0|57
10712878|95110560|0|151
5171960|35958536|0|151
8124692|23711806|0|151
465701873|24501901|0|60
4995424|2883857571|0|151
431622119|4314001206|0|92
27596110|36727473|0|170
18640954|25473377|0|130
4077464|1369496980|0|92
4481674|802257712|0|94
17111579|177708870|0|151
41518094|1389385063|0|57
156202907|1188082564|0|60
21125931|227226362|0|67
5367242|38445572|0|151
4042742|3471483813|0|151
78315497|2088026009|0|67
50218848|225155|0|104
109368421|585233417|0|67
9381240|1437637100|0|151
2210|769287498|0|151
3128556|14957028|0|151
5123513|3319951372|0|151
161099536|1730967709|0|67
563981547|4878560548|0|135
11288142|283124296|0|143
241253345|1691197882|0|151
548647476|4616623481|0|92
306176547|2194405171|0|151
10605430|92725127|0|135
22633456|1465882157|0|151
165229857|1767912382|0|133
76743085|5455268049|0|79
24497207|266385754|0|67
22696951|2429046861|0|191
14766807|647104242|0|55
4943872|32579184|0|151
24777592|2077508945|0|92
8128723|620787167|0|151
23109689|5104277453|0|170
178407433|3326724527|0|151
4428051|21315513|0|94
22814581|245439178|0|151
49988473|739852449|0|143
4843387|31193284|0|151
10603694|4068297743|0|92
156113653|266389645|0|181
17718426|183620102|0|151
3995802|20949005|0|151
87713856|1019990138|0|170
97213065|21474295|0|67
393285869|420491043|0|151
22626369|904958759|0|151
4940328|32544857|0|151
27707771|304272331|0|120
389280572|5180459401|0|170
24547734|266902548|0|60
3671264|18163405|0|151
2956205|256620379|0|151
23882707|21427573|0|67
244587679|2816929961|0|94
4787945|24555096|0|151
5227460|36725043|0|151
4073121|4204662689|0|151
5116536|35217416|0|92
13868682|130198103|0|164
74664087|27241340|0|115
6008175|4376179225|0|130
34140259|36086741|0|151
23072430|248975746|0|57
170335502|1814908865|0|67
22884890|114243737|0|151
8133955|21580624|0|151
24476775|687183964|0|151
83389894|970783315|0|94
33121457|373939914|0|151
5027869|1852654074|0|52
4876731|31499460|0|67
4981901|856374252|0|57
43035175|36114796|0|151
60905395|762350778|0|151
5368473|38457429|0|94
23062963|248874176|0|115
26936458|2497722647|0|67
4422804|26389081|0|60
245608732|12197724|0|60
24841813|35112755|0|142
4487090|38417499|0|92
4267961|25616513|0|151
382948555|1890308438|0|170
13868133|130189395|0|67
4709799|29981315|0|92
8385119|26199151|0|120
24472079|1952362919|0|67
4210425|24912019|0|151
25195425|274670303|0|151
4439953|3939208419|0|151
23340659|370600034|0|170
11918176|145753008|0|151
340425488|1288398793|0|151
104374227|1204201689|0|94
4045829|270966|0|135
32636450|332783101|0|138
4408648|250352137|0|92
5048194|33826834|0|151
5196678|36243024|0|92
8169022|1607738728|0|151
8127757|16574829|0|151
30809919|105662222|0|151
4709809|224091526|0|92
5216955|29685445|0|151
4044626|5222541026|0|67
15131621|149521549|0|120
153994384|2736462133|0|92
3678097|18237708|0|92
2876892|5463724741|0|151
4045679|19107954|0|175
32730037|368293969|0|67
4704417|29933307|0|151
22616555|1142071171|0|92
13871243|130234737|0|151
5172010|1696578576|0|151
3618222|7992370|0|151
32792997|95946105|0|67
13780236|5317915561|0|92
4082558|21665378|0|166
4794275|1333401130|0|120
