WayID,PointID,Rotation,BeautyLabel,Confidence
8363123,1077704848,0,1,0.5524544
16790097,173736413,0,0,0.51746166
7995502,1564517311,0,1,0.52130073
8375945,195712,0,1,0.6301471
2955913,629000,0,1,0.51781267
10803762,3939800061,0,1,0.58268076
8143721,26845250,0,0,0.5272899
9042937,66562143,0,1,0.5170827
4770477,30482801,0,1,0.63667685
8900973,5176882145,0,1,0.65751016
16788672,173711301,0,0,0.55633307
10698897,94934826,0,1,0.65463805
186283254,18130192,0,0,0.5747859
13871080,5278147909,0,0,0.5056448
9861996,79476939,0,0,0.61153376
137818347,2144273345,0,0,0.60022414
5926771,257453718,0,1,0.6168513
2956560,648845,0,0,0.51737994
25886644,1656263786,0,0,0.5557301
241556135,5399776218,0,1,0.5888446
103849692,28352093,0,1,0.7166546
48606853,177693509,0,1,0.50162625
267951949,2733421079,0,1,0.5717332
8072793,60459452,0,1,0.5420629
165463924,2104957142,0,1,0.5151459
30409870,105665136,0,0,0.51594937
146468305,10988063,0,1,0.60740924
208836259,1651335355,0,1,0.65970355
4804758,25947998,0,0,0.54194957
41151622,169655600,0,1,0.6727197
13950288,2309602185,0,0,0.6418728
4287873,918324768,0,1,0.504859
4328588,1599210442,0,1,0.625193
4009835,947875859,0,0,0.5373336
5367888,38454164,0,0,0.5023714
5728665,43394052,0,1,0.5575384
50905237,32581372,0,0,0.5844871
7953945,417541915,0,0,0.5659826
15221662,150610495,0,1,0.53073525
14008816,132854003,0,0,0.549216
5930861,4630769163,0,0,0.50904447
4048441,620020028,0,1,0.6375968
20328506,250525401,0,1,0.55119824
22793414,245015922,0,0,0.5154604
4999132,622031052,0,1,0.5689178
37804508,443418084,0,1,0.54506105
4342618,26421687,0,0,0.5433408
17443649,180506092,0,1,0.57167333
96150424,1114073421,0,0,0.52894825
13949470,3196248074,0,0,0.55704
167907329,251672107,0,1,0.5818113
4302714,2121294967,0,1,0.5327449
33742487,385978915,0,1,0.57087433
210101127,260449932,0,1,0.649872
73984177,1704546662,0,1,0.67517567
23062383,248859107,0,1,0.5546372
22753554,3574630294,0,1,0.63826185
4622223,1305567686,0,0,0.6177802
16616882,171619126,0,0,0.51226676
5319942,3551158345,0,0,0.57697344
14370436,139989802,0,0,0.6071708
5365016,38429086,0,1,0.5931306
16317499,167218443,0,1,0.5789149
229188853,26385460,0,1,0.5678006
31982196,358424415,0,1,0.66624653
6008169,2410476714,0,1,0.62101793
5030919,206348019,0,0,0.5215608
34700359,403897928,0,1,0.6672088
153730945,1663594128,0,1,0.5554948
27050170,128082627,0,1,0.5650825
25981929,101309699,0,1,0.5319336
3692542,18292943,0,1,0.67755026
5154070,1613452965,0,1,0.52973294
4296191,251883625,0,1,0.5077374
17991267,1452527986,0,0,0.52108526
549840545,248816858,0,0,0.5974413
7544093,484928878,0,1,0.5494517
23023389,248230124,0,0,0.6394916
26580554,2910833377,0,0,0.59721464
34870065,32439586,0,0,0.62125957
235059617,613187066,0,0,0.50474787
13857383,1458525491,0,1,0.5936378
23776861,257612012,0,1,0.60501343
4482288,27339980,0,1,0.5290646
285717967,30991121,0,1,0.52252215
51175615,262443441,0,1,0.62889785
21395107,230081361,0,1,0.6322699
4238283,24923603,0,1,0.6226079
5027686,4685264446,0,1,0.6392294
15133449,149544415,0,0,0.5540712
8125015,13032104,0,0,0.5537771
3692532,3553308545,0,0,0.5428959
201783840,469760843,0,0,0.55615234
3040458,2084187583,0,1,0.53837204
8139293,26004005,0,1,0.6678374
13715484,126621699,0,1,0.64717156
36949145,126606935,0,1,0.52049565
41977085,102963210,0,1,0.62910336
2937456,18066008,0,0,0.5086554
4368225,662563885,0,0,0.5011439
4299835,18061621,0,0,0.50857013
7855348,699164023,0,1,0.65643364
9939917,1945672176,0,1,0.56990546
5180220,391448075,0,0,0.5269228
74139434,877050359,0,1,0.6193642
49797651,32654982,0,1,0.6805825
4275781,25258827,0,1,0.5798188
4999048,622032932,0,1,0.5148809
3131449,451019422,0,0,0.52389044
279536894,2837600010,0,1,0.556182
395908564,243238214,0,0,0.54782027
50132474,32546056,0,1,0.52420443
25816466,486492085,0,0,0.5592562
8045012,5255557290,0,1,0.5545999
4134193,256550912,0,0,0.52322114
54499403,686459747,0,1,0.5763705
143208179,1567010291,0,1,0.5884307
4430804,1570779348,0,1,0.59373045
169262120,26820905,0,1,0.53000575
25966218,283267055,0,1,0.57021147
243007242,30653522,0,0,0.5468236
10496639,90238263,0,1,0.56022084
24526117,266692313,0,1,0.53640926
8178828,1961442177,0,0,0.5794612
77238757,5339772738,0,1,0.6419878
4005274,21090170,0,1,0.67557627
23064059,248886370,0,0,0.51747745
4088332,21540838,0,1,0.6659943
22870707,245804404,0,0,0.5323235
8875007,64637001,0,1,0.54836696
15256987,151183033,0,1,0.5334881
9950921,81684152,0,1,0.5243928
4262443,5229553596,0,1,0.6096989
11154452,99331136,0,1,0.66429174
27834786,305603098,0,0,0.65431917
164055647,247854128,0,0,0.5115269
38823526,1448808420,0,0,0.5091237
51271803,654181122,0,1,0.5575919
3617968,18237764,0,1,0.57164425
4610445,1692431892,0,1,0.54221135
203494404,1959436162,0,0,0.5678585
8136154,1469949937,0,0,0.5781493
45733570,582520348,0,1,0.5688831
4940404,3625957390,0,1,0.5853849
149616250,909457318,0,1,0.5689309
12710079,116117989,0,1,0.5531058
23372010,253067180,0,0,0.5026895
8321622,21574920,0,1,0.5674039
4849036,36487217,0,1,0.5031136
4482286,27340014,0,1,0.56796956
4253637,5337670078,0,1,0.622191
3595852,17788850,0,1,0.637337
184763905,124250527,0,1,0.6941595
6059544,249486804,0,1,0.60097265
4813603,30914994,0,1,0.54121757
193939156,3785996022,0,0,0.5361821
4865508,36269453,0,1,0.63035226
10578611,941120089,0,0,0.54765517
4278463,245794350,0,1,0.5097914
4211851,24955431,0,1,0.64449954
4341834,26658333,0,1,0.6308561
14371851,140039139,0,1,0.59761655
500549199,530980448,0,1,0.55399185
8685826,62055930,0,1,0.6390323
4942797,32567917,0,0,0.5562303
23115137,249551461,0,1,0.64634746
456784180,27120301,0,1,0.51396525
4632657,29426878,0,0,0.5993119
22604052,16574811,0,1,0.53937924
39523099,105920102,0,0,0.59491825
262200663,25473562,0,1,0.570607
9925054,1561741495,0,1,0.5751154
191917318,2024780065,0,0,0.65431917
13873987,2306997795,0,0,0.5348211
100868531,2921402589,0,0,0.5421164
24951901,385878000,0,0,0.56768835
151993050,1648250994,0,1,0.5271265
24575980,424618,0,1,0.6161981
1746501,1289572996,0,0,0.60313195
99069430,332442559,0,0,0.54381996
22928191,81698001,0,1,0.65395135
166505019,1779464873,0,0,0.5481384
52128637,1961324329,0,0,0.5492515
4256421,9521018,0,0,0.51575714
23030619,248469081,0,0,0.5085305
4253390,25438891,0,1,0.50216526
17444623,180518969,0,1,0.5559189
168245836,1708319393,0,1,0.5342048
4899605,31930033,0,1,0.63506377
40606578,1767682658,0,1,0.57780254
15132826,149534158,0,1,0.58463687
10578187,290869231,0,0,0.5121896
25594977,1568934845,0,1,0.65133184
8408584,27121254,0,1,0.58263737
59034335,731652833,0,1,0.6266331
23077598,249092401,0,0,0.5289118
226590580,517790139,0,1,0.59500307
4223934,5090420940,0,0,0.5217811
227719007,3622156358,0,1,0.52676994
22824524,245735337,0,1,0.56603754
4865506,804807720,0,0,0.51167405
8037972,60093949,0,1,0.6413174
4746963,25436806,0,0,0.61848325
173020957,1838501034,0,1,0.59016305
27784051,738068757,0,0,0.65431917
220495590,1161639064,0,0,0.50313216
4365369,12197090,0,1,0.5091027
4288154,2349095297,0,0,0.56232506
23505855,254574856,0,0,0.5260895
13868297,1244844062,0,1,0.6189739
148947481,2478729124,0,1,0.5924026
8394140,3099721994,0,0,0.54933757
12897691,118242865,0,0,0.54040873
50551524,26197109,0,1,0.5876223
12896244,118238523,0,0,0.5779195
217162049,2264574100,0,0,0.5371037
4364900,1686375191,0,0,0.5373687
4356806,4617206790,0,1,0.58164537
11020678,243782460,0,0,0.5593491
10133117,83594478,0,1,0.6642203
23245270,5277517867,0,1,0.50498056
53581768,2454746785,0,1,0.60054916
4641219,391661407,0,1,0.60178125
32979074,371470775,0,1,0.5183861
26380852,4225998685,0,1,0.595467
4951641,3215888113,0,1,0.57298493
33572567,36668870,0,0,0.56335455
8363531,68242972,0,1,0.6093383
28890023,566128809,0,1,0.517276
4407169,1343435655,0,0,0.51981854
4956042,27284978,0,1,0.5277508
3110738,620066,0,1,0.5136201
44380073,1094605353,0,1,0.5599189
5027157,3400366600,0,1,0.5474082
43649846,5278620884,0,0,0.5543774
287112564,104062811,0,1,0.64480036
2428138,2538223478,0,1,0.65596646
45833941,11079568,0,0,0.59386724
438319268,874823385,0,1,0.58347076
4058924,365158275,0,1,0.583867
8181081,68325285,0,1,0.5464774
22977607,2318240258,0,1,0.5211041
15222578,150622369,0,1,0.5281109
4240301,25321874,0,0,0.51909655
26567136,10710886,0,0,0.68537766
4341538,26430071,0,1,0.61934435
25121045,273509332,0,1,0.5050668
293465372,35959946,0,1,0.6664606
2947,2404145428,0,1,0.5383584
108515957,1244831326,0,1,0.5002577
4704419,29933315,0,0,0.5634111
35266666,26145468,0,0,0.5378356
25904399,282571111,0,0,0.61462355
10374625,2686171933,0,1,0.5872935
4408757,2516695073,0,1,0.5752571
8610057,61275574,0,0,0.5424988
3997652,20961093,0,1,0.5876223
174193630,1849094952,0,1,0.54150367
31264905,92740126,0,1,0.5112564
4976055,4573233879,0,1,0.5091164
495724667,1488974241,0,0,0.5288953
13898682,130889095,0,1,0.56740636
237405800,12893542,0,1,0.58297175
314499882,1885068222,0,0,0.5664888
54266034,684347830,0,0,0.5135386
5728723,43396512,0,1,0.5100884
36120829,421839144,0,1,0.6068624
30733429,585209626,0,1,0.5677377
4324103,25277225,0,1,0.5384625
192339946,227779,0,1,0.6556896
244220880,60882203,0,1,0.5014131
5218740,36712291,0,0,0.61395985
4377609,1835593834,0,0,0.5048922
4252417,198177,0,1,0.60679865
3997625,20961330,0,0,0.55276054
13854135,3453736895,0,1,0.5620244
4772452,279006687,0,1,0.6593777
52489930,701001447,0,0,0.65431917
366078296,3700647401,0,0,0.65431917
23074752,249068721,0,0,0.55117303
17940488,21662121,0,1,0.6071163
78165848,918192728,0,0,0.587563
5045836,1150694031,0,1,0.57901263
9546145,73820416,0,0,0.6125822
4356098,107800,0,1,0.565195
11297988,100417695,0,1,0.532819
4748247,585233419,0,1,0.6490891
4769327,418810448,0,1,0.59828776
168555816,1798022531,0,1,0.65038496
4364725,26975783,0,1,0.5893266
205000158,1277522465,0,1,0.51469576
51174237,652802166,0,1,0.5098502
50132708,60269654,0,1,0.50156146
34925183,36102157,0,1,0.6912466
20499695,219432397,0,1,0.58875185
7971276,5142901363,0,1,0.5047275
10324710,1881012129,0,0,0.5681702
25695219,118298453,0,1,0.5796872
41911484,380264339,0,1,0.5111225
22990659,1136360109,0,1,0.59585756
47698766,606932971,0,1,0.5796562
4766889,30444850,0,1,0.5455687
5027497,27056014,0,1,0.5707836
5105544,34923119,0,0,0.5076607
37291259,35787286,0,0,0.5957097
50408566,4408200319,0,0,0.52707523
4253802,3494677619,0,0,0.6122881
28126089,21640671,0,1,0.5010071
4254088,1237057164,0,1,0.5749044
44830641,383239577,0,0,0.65431917
503189069,3942430056,0,1,0.5352182
154083843,1666813880,0,0,0.5089247
1928247,1654941123,0,0,0.51626056
5227865,36728179,0,1,0.6980896
317585461,2627280535,0,1,0.51628095
5571479,41316662,0,0,0.6704285
30498693,25885425,0,0,0.5042596
4302809,1983607511,0,1,0.52600104
12863194,117863556,0,1,0.6162085
315413399,25895848,0,0,0.5295357
211335586,2213457190,0,1,0.5410929
13868361,1596766806,0,1,0.5267192
4562271,18130231,0,1,0.5759025
36738637,46169271,0,1,0.6003464
4402792,1333929707,0,0,0.5809985
45170545,32552586,0,0,0.55968523
4764536,2263383645,0,1,0.5340794
14489865,4904305444,0,0,0.5796964
109879542,1256794024,0,1,0.72032475
549463995,12779182,0,1,0.57276964
78165822,918192607,0,0,0.55934536
207808761,243065,0,1,0.5779921
23023390,248230126,0,1,0.5272735
47387635,128599042,0,0,0.5401668
38253751,1970759091,0,0,0.560022
8147902,25421035,0,1,0.57778627
132029087,1452760918,0,1,0.5536094
